Date,Transactions
2024-09-29,687427
2024-09-30,594224
2024-10-01,632894
2024-10-02,590981
2024-10-03,582777
2024-10-04,561425
2024-10-05,757575
2024-10-06,742158
2024-10-07,717700
2024-10-08,719458
2024-10-09,536887
2024-10-10,746211
2024-10-11,633252
2024-10-12,736321
2024-10-13,648739
2024-10-14,611683
2024-10-15,646891
2024-10-16,708342
2024-10-17,653027
2024-10-18,474279
2024-10-19,735561
2024-10-20,778073
2024-10-21,835011
2024-10-22,700174
2024-10-23,665187
2024-10-24,681834
2024-10-25,524014
2024-10-26,597744
2024-10-27,700814
2024-10-28,702824
2024-10-29,614981
2024-10-30,682099
2024-10-31,562237
2024-11-01,547888
2024-11-02,544612
2024-11-03,455402
2024-11-04,456826
2024-11-05,465286
2024-11-06,501641
2024-11-07,553047
2024-11-08,497146
2024-11-09,577368
2024-11-10,558278
2024-11-11,462458
2024-11-12,503677
2024-11-13,570979
2024-11-14,503566
2024-11-15,562223
2024-11-16,602655
2024-11-17,598496
2024-11-18,673308
2024-11-19,810805
2024-11-20,664866
2024-11-21,498512
2024-11-22,540305
2024-11-23,444699
2024-11-24,463289
2024-11-25,604870
2024-11-26,475689
2024-11-27,462119
2024-11-28,523480
2024-11-29,341781
2024-11-30,640943
2024-12-01,698223
2024-12-02,311811
2024-12-03,439519
2024-12-04,502912
2024-12-05,512490
2024-12-06,414643
2024-12-07,456101
2024-12-08,420320
2024-12-09,403264
2024-12-10,441944
2024-12-11,481168
2024-12-12,474978
2024-12-13,523585
2024-12-14,517482
2024-12-15,378527
2024-12-16,412747
2024-12-17,419707
2024-12-18,414366
2024-12-19,437574
2024-12-20,398670
2024-12-21,330225
2024-12-22,336217
2024-12-23,292681
2024-12-24,326570
2024-12-25,405831
2024-12-26,298916
2024-12-27,348241
2024-12-28,298580
2024-12-29,419112
2024-12-30,374721
2024-12-31,312513
2025-01-01,292213
2025-01-02,402440
2025-01-03,409341
2025-01-04,432302
2025-01-05,433954
2025-01-06,366260
2025-01-07,352121
2025-01-08,399976
2025-01-09,534013
2025-01-10,408769
2025-01-11,361190
2025-01-12,380525
2025-01-13,408248
2025-01-14,352684
2025-01-15,354014
2025-01-16,375439
2025-01-17,425661
2025-01-18,360666
2025-01-19,388509
2025-01-20,350291
2025-01-21,324412
2025-01-22,432369
2025-01-23,326010
2025-01-24,369243
2025-01-25,338988
2025-01-26,309651
2025-01-27,332102
2025-01-28,305953
2025-01-29,355332
2025-01-30,335134
2025-01-31,328684
2025-02-01,357439
2025-02-02,383258
2025-02-03,360484
2025-02-04,308619
2025-02-05,381126
2025-02-06,428326
2025-02-07,498394
2025-02-08,469138
2025-02-09,385420
2025-02-10,359522
2025-02-11,337513
2025-02-12,386539
2025-02-13,379906
2025-02-14,346002
2025-02-15,306930
2025-02-16,300091
2025-02-17,333466
2025-02-18,422709
2025-02-19,448569
2025-02-20,480465
2025-02-21,459909
2025-02-22,551849
2025-02-23,572814
2025-02-24,514086
2025-02-25,497063
2025-02-26,403575
2025-02-27,325162
2025-02-28,386183
2025-03-01,290895
2025-03-02,264912
2025-03-03,374224
2025-03-04,304773
2025-03-05,309176
2025-03-06,370349
2025-03-07,313588
2025-03-08,292451
2025-03-09,300380
2025-03-10,446224
2025-03-11,376740
2025-03-12,428828
2025-03-13,532638
2025-03-14,439189
2025-03-15,473428
2025-03-16,471115
2025-03-17,380493
2025-03-18,369237
2025-03-19,441661
2025-03-20,337973
2025-03-21,321230
2025-03-22,413839
2025-03-23,533755
2025-03-24,483673
2025-03-25,505859
2025-03-26,515068
2025-03-27,437476
2025-03-28,397685
2025-03-29,290139
2025-03-30,305206
2025-03-31,318279
2025-04-01,356323
2025-04-02,399055
2025-04-03,392043
2025-04-04,429861
2025-04-05,293474
2025-04-06,279475
2025-04-07,309387
2025-04-08,363972
2025-04-09,317312
2025-04-10,322464
2025-04-11,405030
2025-04-12,409511
2025-04-13,455139
2025-04-14,441688
2025-04-15,442899
2025-04-16,507129
2025-04-17,557181
2025-04-18,508733
2025-04-19,545076
2025-04-20,468737
2025-04-21,444986
2025-04-22,518267
2025-04-23,418203
2025-04-24,464739
2025-04-25,392451
2025-04-26,321357
2025-04-27,441827
2025-04-28,409765
2025-04-29,467725
